date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-04-18,945.41,954.68,945.5,936.22,19598.52,-6.5,-0.68,931.68,920.179,866.647,40183.56,49984.88,49316.62
2019-04-17,938.0,955.51,952.0,925.0,40761.02,12.1,1.29,927.62,910.079,859.012,48484.36,52330.71,49892.57
2019-04-16,904.9,939.9,939.9,901.22,46423.44,32.9,3.63,926.818,899.879,851.042,53895.03,53577.31,49886.26
2019-04-15,931.0,939.0,907.0,907.0,45522.64,-7.0,-0.77,919.838,891.789,844.552,54208.31,55028.43,51631.03
2019-04-12,909.0,919.99,914.0,900.01,48612.17,-11.2,-1.21,918.478,886.488,838.067,58354.16,59569.56,51974.93
2019-04-11,948.0,950.0,925.2,905.55,61102.54,-22.79,-2.4,908.678,875.768,831.267,59786.2,60465.02,52652.95
2019-04-10,903.0,951.9,947.99,900.0,67814.38,42.99,4.75,892.538,862.098,822.707,56177.05,58635.5,51625.89
2019-04-09,903.0,908.2,905.0,892.51,47989.8,4.8,0.53,872.94,844.599,812.558,53259.59,55613.64,50860.67
2019-04-08,900.0,908.0,900.2,890.12,66251.93,35.2,4.07,863.74,831.659,805.235,55848.55,54541.7,51114.05
2019-04-04,840.0,865.8,865.0,836.2,55772.36,20.5,2.43,854.498,821.039,797.1,60784.96,50968.26,50415.21
2019-04-03,840.12,851.74,844.5,834.21,43056.8,-5.5,-0.65,842.858,813.114,791.28,61143.84,48648.35,50635.62
2019-04-02,859.99,859.99,850.0,836.06,53227.05,-9.0,-1.05,831.658,807.944,787.455,61093.95,47454.42,50819.35
2019-04-01,860.0,868.95,859.0,851.0,60934.61,5.01,0.59,816.258,802.205,783.944,57967.68,46195.21,50399.52
2019-03-29,835.0,866.68,853.99,830.17,90933.96,47.19,5.85,799.578,797.314,780.087,53234.85,48233.63,51582.09
2019-03-28,793.43,814.48,806.8,785.68,57566.76,18.3,2.32,787.58,789.645,776.852,41151.56,44380.3,50227.41
2019-03-27,781.0,793.88,788.5,775.0,42807.39,15.5,2.0,783.37,786.765,774.263,36152.86,44840.88,50198.38
2019-03-26,780.0,785.94,773.0,764.1,37595.69,-2.6,-0.34,784.23,783.315,771.873,33814.89,44616.28,51355.12
2019-03-25,786.0,788.0,775.6,773.3,37270.46,-18.4,-2.32,788.152,780.516,769.59,34422.74,46107.71,52373.57
2019-03-22,788.22,799.98,794.0,785.0,30517.5,8.25,1.05,795.05,778.81,767.927,43232.41,47686.39,54641.18
2019-03-21,788.0,792.8,785.75,781.5,32573.28,-7.05,-0.89,791.71,773.16,764.527,47609.05,49862.17,54410.74
2019-03-20,790.0,802.3,792.8,785.0,31117.52,0.19,0.02,790.16,769.445,761.252,53528.9,52622.89,54274.6
2019-03-19,803.0,807.92,792.61,792.3,40634.93,-17.48,-2.16,782.4,766.965,757.712,55417.67,54184.28,54612.84
2019-03-18,778.8,814.53,810.09,777.0,81318.8,32.79,4.22,772.88,765.682,754.62,57792.69,54603.84,54056.17
2019-03-15,776.0,787.5,777.3,764.85,52400.71,-0.7,-0.09,762.57,762.859,751.115,52140.38,54930.56,51877.52
2019-03-14,757.0,785.0,778.0,754.0,62172.56,24.0,3.18,754.61,764.059,748.489,52115.28,56074.51,50419.39
2019-03-13,745.5,760.75,754.0,745.5,40561.36,8.99,1.21,748.73,761.76,746.447,51716.88,55555.88,48923.67
2019-03-12,763.82,763.83,745.01,739.0,52510.01,-13.53,-1.78,751.53,760.43,745.51,52950.88,58093.97,48679.45
2019-03-11,740.04,766.95,758.54,740.04,53057.24,21.04,2.85,758.484,758.664,744.155,51414.99,58639.43,47808.52
2019-03-08,737.9,746.83,737.5,733.65,52275.25,-11.1,-1.48,763.148,757.043,742.493,57720.73,61595.97,48062.7
2019-03-07,762.22,762.22,748.6,745.56,60180.53,-19.4,-2.53,773.508,755.894,740.252,60033.73,58959.32,46974.97
2019-03-06,775.0,779.5,768.0,765.88,46731.37,-11.78,-1.51,774.79,753.059,737.302,59394.87,55926.31,45800.77
2019-03-05,785.0,789.55,779.78,775.88,44830.56,-2.08,-0.27,769.33,748.459,732.702,63237.05,55041.41,44599.2
2019-03-04,795.0,798.33,781.86,777.22,84585.96,-7.44,-0.94,758.844,743.557,727.963,65863.87,53508.5,43874.8
2019-03-01,761.5,790.0,789.3,761.0,63840.23,34.29,4.54,750.938,739.371,722.72,65471.2,48824.49,41450.64
2019-02-28,737.9,763.42,755.01,736.95,56986.25,14.31,1.93,738.28,732.919,717.24,57884.91,44764.27,39707.95
2019-02-27,733.0,758.02,740.7,731.0,65942.27,13.35,1.83,731.328,731.134,713.114,52457.74,42291.46,38316.4
2019-02-26,747.8,749.18,727.35,726.0,57964.66,-14.98,-2.02,727.588,730.589,709.362,46845.76,39264.94,36700.53
2019-02-25,730.75,744.44,742.33,717.99,82622.59,16.32,2.25,728.27,729.646,706.545,41153.13,36977.61,35908.41
2019-02-22,717.0,728.49,726.01,714.1,25908.77,5.76,0.8,727.804,727.943,703.777,32177.79,34529.43,34129.87
2019-02-21,720.0,730.48,720.25,717.0,29850.4,-1.75,-0.24,727.558,724.609,701.657,31643.63,34990.61,36264.89
2019-02-20,735.0,735.0,722.0,716.06,37882.37,-8.76,-1.2,730.94,721.544,698.607,32125.17,35675.23,36286.61
2019-02-19,740.96,742.5,730.76,726.66,29501.5,-9.24,-1.25,733.59,716.944,695.562,31684.11,34156.99,36496.68
